iter	Passed	Remaining
456	827	982
457	828	980
458	829	977
459	830	974
460	831	971
461	832	969
462	834	967
463	835	965
464	837	963
465	838	961
466	839	958
467	841	956
468	841	953
469	843	950
470	844	947
471	844	945
472	846	942
473	848	941
474	850	939
475	851	937
476	852	934
477	853	932
478	854	929
479	856	927
480	857	925
481	859	923
482	860	920
483	861	918
484	863	916
485	864	914
486	866	912
487	867	910
488	869	908
489	870	905
490	871	903
491	872	901
492	874	899
493	875	896
494	877	895
495	879	893
496	880	891
497	882	889
498	883	886
499	884	884
500	885	882
501	887	879
502	888	877
503	889	875
504	890	872
505	892	871
506	893	869
507	895	867
508	896	864
509	897	862
510	899	860
511	900	858
512	902	856
513	903	853
514	904	851
515	905	849
516	907	847
517	908	845
518	910	843
519	911	841
520	912	839
521	913	836
522	915	834
523	916	832
524	917	830
525	918	827
526	919	825
527	921	823
528	922	821
529	923	819
530	925	817
531	926	815
532	927	812
533	929	810
534	930	808
535	931	806
536	932	804
537	933	802
538	935	800
539	936	798
540	938	796
541	939	794
542	940	791
543	942	789
544	943	787
545	944	785
546	945	783
547	946	781
548	948	778
549	949	777
550	951	775
551	952	773
552	954	771
553	955	769
554	956	766
555	957	764
556	958	762
557	959	760
558	960	758
559	962	755
560	963	753
561	964	751
562	965	749
563	967	747
564	968	745
565	969	743
566	970	741
567	971	739
568	973	737
569	974	734
570	975	732
571	976	730
572	977	728
573	979	726
574	980	724
575	982	723
576	983	721
577	984	719
578	986	717
579	987	715
580	988	713
581	990	711
582	991	709
583	993	707
584	994	705
585	996	703
586	997	702
587	999	700
588	1000	698
589	1002	696
590	1003	694
591	1005	692
592	1006	690
593	1007	688
594	1009	686
595	1010	685
596	1011	683
597	1013	681
598	1015	679
599	1016	677
600	1017	675
601	1019	673
602	1020	671
603	1022	670
604	1023	668
605	1025	666
606	1027	665
607	1028	663
608	1029	661
609	1031	659
610	1032	657
611	1033	655
612	1034	653
613	1036	651
614	1038	649
615	1039	648
616	1041	646
617	1043	644
618	1044	642
619	1046	641
620	1047	639
621	1048	637
622	1050	635
623	1052	634
624	1054	632
625	1056	631
626	1057	629
627	1059	627
628	1060	625
629	1062	623
630	1063	621
631	1065	620
632	1066	618
633	1068	616
634	1069	614
635	1071	613
636	1073	611
637	1074	609
638	1076	607
639	1077	606
640	1079	604
641	1080	602
642	1082	600
643	1083	599
644	1085	597
645	1086	595
646	1088	593
647	1089	591
648	1090	589
649	1091	587
650	1093	586
651	1094	584
652	1095	582
653	1097	580
654	1099	579
655	1100	577
656	1101	575
657	1102	573
658	1104	571
659	1105	569
660	1106	567
661	1107	565
662	1109	563
663	1110	561
664	1112	560
665	1113	558
666	1115	556
667	1117	555
668	1118	553
669	1120	551
670	1121	549
671	1122	547
672	1123	545
673	1125	544
674	1126	542
675	1128	540
676	1130	539
677	1131	537
678	1132	535
679	1133	533
680	1135	531
681	1136	529
682	1137	527
683	1138	526
684	1140	524
685	1141	522
686	1143	521
687	1145	519
688	1146	517
689	1147	515
690	1148	513
691	1149	511
692	1150	509
693	1152	508
694	1153	506
695	1155	504
696	1156	502
697	1158	501
698	1159	499
699	1160	497
700	1161	495
701	1162	493
702	1164	491
703	1165	489
704	1166	488
705	1167	486
706	1169	484
707	1170	482
708	1172	481
709	1173	479
710	1174	477
711	1175	475
712	1177	473
713	1178	472
714	1179	470
715	1180	468
716	1181	466
717	1183	464
718	1184	462
719	1186	461
720	1187	459
721	1188	457
722	1190	455
723	1191	454
724	1192	452
725	1193	450
726	1194	448
727	1195	446
728	1196	444
729	1198	443
730	1199	441
731	1201	439
732	1202	438
733	1203	436
734	1205	434
735	1206	432
736	1207	430
737	1208	429
738	1209	427
739	1211	425
740	1212	423
741	1214	422
742	1215	420
743	1217	418
744	1218	417
745	1219	415
746	1221	413
747	1222	411
748	1223	409
749	1224	408
750	1225	406
751	1227	404
752	1229	403
753	1230	401
754	1231	399
755	1232	397
756	1234	396
757	1235	394
758	1236	392
759	1237	390
760	1238	389
761	1239	387
762	1241	385
763	1242	383
764	1244	382
765	1245	380
766	1246	378
767	1248	377
768	1249	375
769	1250	373
770	1251	371
771	1252	370
772	1254	368
773	1255	366
774	1256	364
775	1258	363
776	1260	361
777	1261	359
778	1262	358
779	1263	356
780	1264	354
781	1265	352
782	1266	351
783	1267	349
784	1269	347
785	1270	345
786	1271	344
787	1273	342
788	1274	340
789	1275	339
790	1277	337
791	1278	335
792	1279	334
793	1280	332
794	1282	330
795	1283	328
796	1284	327
797	1286	325
798	1288	324
799	1289	322
800	1291	320
801	1292	319
802	1293	317
803	1294	315
804	1295	313
805	1297	312
806	1298	310
807	1299	308
808	1301	307
809	1302	305
810	1304	303
811	1305	302
812	1306	300
813	1307	298
814	1308	297
815	1309	295
816	1311	293
817	1312	291
818	1313	290
819	1315	288
820	1316	286
821	1317	285
822	1319	283
823	1320	282
824	1321	280
825	1322	278
826	1324	277
827	1325	275
828	1326	273
829	1327	271
830	1329	270
831	1331	268
832	1332	267
833	1334	265
834	1335	263
835	1336	262
836	1337	260
837	1339	258
838	1340	257
839	1341	255
840	1343	254
841	1345	252
842	1347	250
843	1348	249
844	1349	247
845	1350	245
846	1352	244
847	1353	242
848	1354	240
849	1355	239
850	1357	237
851	1359	236
852	1360	234
853	1362	232
854	1363	231
855	1364	229
856	1366	227
857	1367	226
858	1368	224
859	1369	223
860	1371	221
861	1372	219
862	1373	218
863	1376	216
864	1377	214
865	1378	213
866	1379	211
867	1381	210
868	1382	208
869	1383	206
870	1385	205
871	1386	203
872	1388	201
873	1389	200
874	1391	198
875	1392	197
876	1394	195
877	1395	193
878	1396	192
879	1397	190
880	1399	188
881	1400	187
882	1401	185
883	1403	184
884	1404	182
885	1405	180
886	1407	179
887	1408	177
888	1410	176
889	1411	174
890	1412	172
891	1413	171
892	1414	169
893	1416	167
894	1417	166
895	1419	164
896	1421	163
897	1422	161
898	1423	159
899	1424	158
900	1425	156
901	1426	155
902	1427	153
903	1429	151
904	1430	150
905	1432	148
906	1433	147
907	1435	145
908	1436	143
909	1437	142
910	1439	140
911	1440	138
912	1441	137
913	1442	135
914	1443	134
915	1445	132
916	1446	130
917	1448	129
918	1449	127
919	1451	126
920	1452	124
921	1453	123
922	1454	121
923	1456	119
924	1457	118
925	1458	116
926	1459	114
927	1461	113
928	1463	111
929	1464	110
930	1466	108
931	1467	107
932	1469	105
933	1470	103
934	1471	102
935	1473	100
936	1474	99
937	1476	97
938	1477	95
939	1479	94
940	1480	92
941	1481	91
942	1482	89
943	1484	88
944	1485	86
945	1486	84
946	1487	83
947	1488	81
948	1490	80
949	1491	78
950	1493	76
951	1494	75
952	1495	73
953	1496	72
954	1498	70
955	1499	69
956	1500	67
957	1501	65
958	1502	64
959	1504	62
960	1506	61
961	1507	59
962	1509	57
963	1510	56
964	1512	54
965	1513	53
966	1514	51
967	1515	50
968	1517	48
969	1518	46
970	1520	45
971	1522	43
972	1523	42
973	1526	40
974	1528	39
975	1529	37
976	1530	36
977	1531	34
978	1533	32
979	1534	31
980	1536	29
981	1538	28
982	1539	26
983	1540	25
984	1541	23
985	1542	21
986	1544	20
987	1545	18
988	1546	17
989	1548	15
990	1549	14
991	1551	12
992	1552	10
993	1553	9
994	1555	7
995	1556	6
996	1557	4
997	1558	3
998	1560	1
999	1561	0
